content,title,tag,time
" قالت دراسة إن النساء اللواتي يعانين الصداع النصفي لسن أكثر عرضة لخطر السمنة عن غيرهن من النساء الأخريات على النقيض مما تقوله بعض الدراسات الأخرى. وخلصت بعض الدراسات إلى وجود علاقة بين الوزن الزائد وارتفاع معدلات الإصابة بالصداع النصفي لكنها فحصت الأشخاص في الأساس عند نقطة زمنية واحدة دون توضيح ما إذا كان الصداع النصفي أم الوزن الزائد حدث أولا. والدراسة الحالية التي نشرت في دورية (الصداع) فحصت بيانات من دراسة لصحة المرأة وهي دراسة سريرية طويلة الأجل بدأت في متابعة آلاف النساء في الولايات المتحدة في منتصف تسعينات القرن الماضي. وقال الباحث توبياس كورث من المعهد الوطني الفرنسي للبحوث الصحية والطبية وجامعة بوردو في رسالة عبر البريد الإلكتروني ""تؤكد دراستنا على أن وجود الصداع النصفي لا يرتبط بزيادة وزن الجسم في المستقبل أو السمنة"". وبشكل عام لم تكن النساء اللواتي يعانين صداعا نصفيا في البداية أكثر عرضة لزيادة الوزن أو السمنة عن النساء الأخريات في الثلاثة عشر عاما التالية. وكان متوسط ​​زيادة الوزن في المجموعتين متطابقا تقريبا بمقدار حوالي 4.5 كيلوجرامات. ومن الناحية النظرية يمكن أن يسهم الصداع النصفي في زيادة الوزن بشكل غير مباشر مثلما يمنع الصداع المتكرر أو الحاد الشخص من ممارسة التمارين الرياضية بانتظام. وتستند النتائج الجديدة على 19162 من العاملات في مجال الصحة وأعمارهن 45 عاما فأكثر وكانت أوزانهن طبيعية عندما بدأت الدراسة. وذكرت حوالي 3500 وجود تاريخ مرضي من الصداع النصفي. وخلال الثلاثة عشر عاما التالية أصبح 41 في المئة من النساء يعانين زيادة الوزن في حين أصبح حوالي 4 في المئة يعانين السمنة المفرطة. لكن احتمالات الإصابة بالسمنة لم تكن أكبر بين النساء اللواتي لديهن تاريخ مرضي للصداع النصفي وزاد خطر زيادة الوزن قليلا فقط بنسبة 11 في المئة. وخلص فريق الباحث كورث إلى أن الصداع النصفي الحاد لا يبدو أنه ينطوي على خطر حدوث وزن زائد أيضا. ولم تكن النساء اللواتي يعانين صداعا نصفيا بوتيرة أسبوعية إلى يومية أكثر عرضة للإصابة بزيادة الوزن أو السمنة من اللواتي يعانين صداعا نصفيا عدة مرات في السنة. ولم تبحث الدراسة ما إذا كانت المرأة التي تعاني زيادة الوزن او السمنة أكثر عرضة لخطر الإصابة بالصداع النصفي أو الصداع الأكثر حدة. وقال كورث ""لا يزال ذلك ممكنا. في الواقع أظهرت عدة دراسات أن السمنة مرتبطة بزيادة وتيرة الإصابة بالصداع النصفي"". وأضاف أن هناك أيضا بعض الأدلة التي تربط بين السمنة وزيادة خطر الإصابة بالصداع النصفي في المقام الأول لكن انتشار الصداع النصفي ظل مستقرا في العقود الأخيرة في حين ارتفعت معدلات السمنة.",الصداع النصفي لا يرتبط بزيادة الوزن,محطات متحركة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
 الممثلة الأميركية سيلينا غوميز لدى وصولها لحضور عرض الفيلم الأميركي»Spring breakers» في مهرجان البندقية السينمائي في دورته التاسعة والستين في إيطاليا-رويترز,سيلينا غوميز,محطات متحركة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
 ,عبدالسلام الهليل,الكاريكاتير, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
 ,ربيع,الكاريكاتير, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
 يلبس الزي السعودي بإتقان ويتحدث إلى زملائه باللغة العربية، وليام فورد طالب طب أمريكي ابتعث من جامعة إيموري بأتلانتا للدراسة بكلية طب جامعة جازان. يقول وليام : أمضيت حتى الآن ستة أسابيع بكلية الطب بجازان وأدرس مقرر منهجية البحث العلمي حيث أشارك زملائي في برامج الأبحاث والدراسات الميدانية، موضحا أنه أجرى بحثا عن الالتهاب الكبدي الفيروسي بمنطقة جازان بعد أن كون وزملاؤه فريقا علميا في الكلية تولى جمع بيانات من العاملين بالبرنامج الوطني لالتهاب الكبد الفيروسي ومن العاملين بمستشفيات ومراكز الرعاية الصحية بمنطقة جازان، مشيرا إلى أن الفريق قدم عرضا بما تمخض عن هذه الدراسة من نتائج مهمة تخدم المنطقة. وقال وليام لقد استفدت من المعامل البحثية والمختبرات المتقدمة التي تضمها الكلية وساعدتني على إنجاز الكثير من التجارب والأبحاث الطبية. من جانبه أوضح عميد كلية الطب الدكتور حسين بن محمد عقيلي أن كلية الطب بجامعة جازان قد استقبلت أول طالب أجنبي ضمن برامج التبادل الطلابي مع جامعة إيموري بأتلانتا بالولايات المتحدة الأمريكية هذا العام تفعيلا للاتفاقيات التي عقدتها الجامعة مع العديد من الجامعات العالمية المرموقة. وأكد العقيلي أن عدداً كبيراً من طلاب جامعة إيموري وغيرها من الجامعات العالمية سيكونون على مقاعد الدراسة بجامعة جازان حيث وصلت الكلية طلبات بهذا الخصوص. مشيرا إلى أنه سيتم تدريب طلاب جامعة جازان في هذه الجامعات لتنمية مهاراتهم الطبية في التخصصات المختلفة وبما يتواكب مع ما تستهدفه الخطة الدراسية للكلية من حرص على جودة المخرجات وتميزها بالمهارات الأدائية المختلفة لتلبية متطلبات العمل في جميع التخصصات الطبية.,جامعات أمريكية تبتعث طلابها لدراسة الطب بجازان,الأخــيــرة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
 أعلن مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة عن بدء تطوير تطبيق برمجي لمصحف المدينة النبوية للعمل على أنظمة تشغيل الهواتف الذكية Android . بعد ان وافق على ذلك وزير الشؤون الإسلامية والأوقاف والدعوة والإرشاد الشيخ صالح بن عبدالعزيز آل الشيخ.. حيث تم الاتفاق مع إحدى الشركات الوطنية المتخصصة في بناء وتطوير التطبيقات الحاسوبية والبرمجية لتنفيذ التطبيق المذكور حسب المواصفات والمميزات التي حددها المجمع، وتتضمن خدمة عرض المصحف الشريف بروايتي حفص وورش، بالإضافة إلى عرض نص كتب التفسير المختلفة (الطبري، ابن كثير، البغوي، السعدي، الميسَّر)، وربطها تفاعلياً مع النص القرآني والترجمات. كما يوفر التطبيق ميزة استعراض الكتب العلمية المتعلقة بالقرآن الكريم، وعدد من ترجمات معاني القرآن الكريم باللغات المتاحة نصياً والمدعومة من نظام Android وربطها تفاعلياً مع النص القرآني. كما يحتوي التطبيق على مميزات متقدمة كمحرك البحث في النص القرآني والكتب العلمية والترجمات، وعرض النص القرآني بخط الرسم العثماني بأسلوب تقني متطور. والاستماع إلى التلاوات الصوتية المتزامنة مع عرض النص القرآني والترجمات، بأصوات مجموعة من القرّاء. بالإضافة إلى العلامات المرجعية التي يتم تصنيفها سواء للمصحف الشريف أو للكتب العلمية والترجمات.,الموافقة على تطوير تطبيق مصحف المدينة النبوية على نظام تشغيل الهواتف الذكية,الأخــيــرة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
" لقي البحث العلمي للمبتعث السعودي في الولايات المتحدة الامريكية مجدل بن سفران بعنوان "" تطوير استراتيجية التنبؤ بمحتويات صفحات الويب دون الحاجة لتحميلها لتحسين معايير أداء محركات البحث المتخصصة بمجالات معينة"" اشادة واسعة من علماء الحاسب الآلي ووصفوا بأن البحث سيساهم في رفع اداء محركات البحث العالمية كما لقي البحث اهتمام العديد من الشركات العالمية المختصة في الحاسب.. وكان الأستاذ مجدل بن سفران المعيد في قسم علوم الحاسب بجامعة الملك سعود والمبتعث حالياً للولايات المتحدة الأمريكية قد قام بصفته الناشر الرئيس وبالتعاون مع الأستاذ عبدالله الثقفي (مبتعث على برنامج خادم الحرمين الشريفين) وتحت إشراف البروفيسور دارين بنشر بحث علمي محكم بعنوان "" تطوير استراتيجية التنبؤ بمحتويات صفحات الويب دون الحاجة لتحميلها لتحسين معايير أداء محركات البحث المتخصصة بمجالات معينة"" في مجلة IEEE Computer Society. وكان فريق عمل البحث قد عمل خلال ستة أشهر على دراسة جميع الإستراتيجيات المنشورة سابقاً من قبل الباحثين في نفس المجال واستطاع الفريق أن يكتشف بعض الخصائص الجديدة لصفحات الويب التي ساعدت في رفع أداء محركات البحث المتخصصة بمجالات معينة بالإضافة إلى الخصائص المنشورة في الأبحاث السابقة. كما أفاد الأستاذ مجدل بأن جميع التجارب التي تم إجراؤها كشفت أن خصائص صفحات الويب المضافة لنظام التنبؤ الجديد رفعت من أداء محركات البحث بعد مقارنتها بنتائج جميع البحوث والأنظمة العلمية المنشورة مسبقاً.",مبتعث سعودي يثير اهتمام شركات الحاسب الآلي العالمية,الأخــيــرة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
 سجل سعر تمر الخلاص يوم أمس الخميس مع بدء موسم الصرام لهذا العام سعراً قياسياً لم يسجله من قبل،حيث وصل سعر المنّ ( 240 كيلوغراما ) من إحدى المزارع إلى 6 آلاف ريال . وأوضح ل (الرياض) شيخ سوق تمور الاحساء عبدالحميد الحليبي أن المزايدة على هذا المنّ انتهت بشرائه له، وعزا الحليبي بلوغ هذا المنّ لسعر غير مسبوق إلى لونه الأصفر وكبر حجم حبة التمرة فيه، وبين أن ( منّ الخلاص ) بوجه عام يتراوح هذا ما بين 900 ريال إلى 1200 ريال ( أي ما بين 4 ريالات إلى 5 ريالات للكيلو غرام الواحد ) . ويعد تمر الخلاص ( الذي تشتهر به الاحساء ) أحد أجود أنواع التمور في المملكة ، ويتميز بمذاقه المميز رطباً وتمراً،ورغم زراعة هذا النوع من التمور في كثير من المناطق ودول الجوار إلا أن خلاص الاحساء تفرد بطعمه دون سواه ،وحافظ على هذا التفرد وحظي بطلب متزايد عاماً بعد آخر من المشترين من داخل المملكة وخارجها، وسعت بعض المصانع الغذائية لصنع تشكيلة من تمر الخلاص المطعم بالجوز وغيره لجذب المزيد من المشترين .,«منّ» تمر خلاص يسجل سعراً قياسياً ببلوغه 6 آلاف ريال,الأخــيــرة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
" و كنت مكان القارئ فإن أول سؤال سأقوله بعد قراءة العنوان هو: "" ماهذا ؟! "" وربما سأضيف: "" هناك حياة واحدة ،، لا داخلية ولا خارجية!"".لذا من الأحسن توضيح قصدي. الحياة الخارجية هي الاهتمام بالأشياء الخارجية أكثر من الاهتمام بالأشياء الداخلية. بمعني أن الهوس بالسيارات الفخمة والمجوهرات والملابس الحديثة وغيرها تصبح هي الطاغية على حياة شخص ما. أما الحياة الداخلية فهي الاهتمام بالنمو الشخصي والروحي، واللجوء للأشياء التي تمد الإحساس الداخلي بالسعادة ( العمل ، الهوايات، القراءة، الفن مثلا) أكثر من اللجوء إلى الأشياء الخارجية. ربما البعض الآن ينتظر إجابة حاسمة بوضع حياة واحدة أفضل الأخرى. ليس هذا ما أريد الوصول إليه ،ولكن رأيي الشخصي يأتي على هذه الصيغة: السعادة = قليل من الحياة الخارجية + كثير من الحياة الداخلية. هناك الكثيرون ممن ينتقد الحياة الخارجية، ويطالب الناس بالزهد وترك زينة الحياة الدنيا. أكثر هؤلاء غير صادقين، ويلعبون فقط الدور التقليدي المبتذل في النصح الذي يعني باختصار: ردد المواعظ ،وتصرف على العكس منها. لذا ليس غريباً أن نسمع مثل هذا الكلام المكرر عند من يملك الأموال الطائلة. ولكن هناك فعلاً من هم صادقون، وأعتقد أن هؤلاء قلة جدا من البشر واستثناء للقاعدة. وهناك بالتأكيد من يطالب الناس بالزهد، لأنه غير قادر على الحصول على المال الذي يحلم به كل ثانية. كل هذه مواقف لا تعكس ما أقصده. ما أقصده هو أننا في الحياة نريد أن نتمتع بمتع الحياة الخارجية. وصحيح أن هذه تجلب بعض السعادة والانتعاش اللذيذ ومن المغالطة إنكار ذلك. إلا أنني أعتقد أننا نبالغ كثيرا في الاهتمام بالأشياء الخارجية. الجديد اللذيذ بدل أن يصبح وسيلة فقط للتغيير أصبح هو بحد ذاته الهدف. دخلنا في لعبة عقلية خطيرة تجعل الشخص مدمناً على شراء الجديد حتى لو لم يكن بحاجة إليه. هذا ينطبق على أشياء كثيرة في الحياة، والخطورة فيها أن الشخص يبني سعادته على تجميع الأشياء الخارجية المتغيرة دوما (بيت، سيارة، مجوهرات، أجهزة الكترونية.. إلخ) ومتى ما نقص أي شيء من هذه الخطة المرسومة في عقله لتجميع الأشياء شعر بالنقص، وبأنه غير سعيد حتى يصبح مثل الآخرين السعداء الذين يجمعون كل هذه الأشياء. مثل هذا التفكير يدخل الشخص في الكآبة لأنه يدخله في سباق خاسر مع الزمن. ولكن أكبر دوافع الانجراف لمثل هذا الوضع هو عدم التفكير في الحياة الداخلية الأهم. الحياة الداخلية هي القادرة على ضبط الحياة الخارجية وجعلها لا تتجاوز الحد المعقول. لشرح ذلك يمكن القول مثلاً إن العمل بشغف وإخلاص حقيقي هو واحد من أهم الأسباب التي تمد الإنسان بسعادة حقيقية بدون أن تدخله في كآبة البحث المجنون عن أشياء خارجة عنه. بمعنى أن الممرضة المخلصة بعملها والتي تساعد المرضى وتداوي جراحهم ستشعر بأعماقها بسعادة كبيرة، وتصبح بعدها غير محتاجة للبحث بجنون عن ساعات أو مجوهرات حتى تعوضها إحساس السعادة المفقود. صحيح أنها ستشري الجديد، ولكن ليس بطريقة مهووسة ولكن بطريقة معقولة لأن ما بداخلها يكفيها. وصحيح أنها تبحث عن المال آخر الشهر ( شيء خارجي ) ولكنها في الرغبة العميقة بداخلها هي إنجاز عملها على أكمل وجه. المشكلة التي نعاني منها كلنا ( أنا أولكم) هو أننا نبحث فقط عن مال الوظيفة بدون أن نفكر أن نحصل على السعادة الداخلية من داخل الوظيفة نفسها. ولذا نرى الموظفين لا يؤدون أعمالهم كما ينبغي لأنهم يفكرون فيها فقط كشيء خارجي يذهب لجيوبهم ولا يمس أعماقهم. إذا كنت سأحصل على المال بأقل جهد مطلوب فلماذا التعب إذن ؟! مثلا هناك بعض التجار الذي يفكر فقط بالحياة الخارجية وليس الداخلية. لذا كل ما يسعى إليه عندما تشتري منه غرضا ما أن يحتال عليك ويحصل على مالك. في الحقيقة هو لا يرى في عمله إلا الشيء الخارجي وليس العمل الجيد نفسه. هناك بالتأكيد تجار يمارسون عملهم بنزاهة و يشعرون بالراحة الداخلية لأنهم قدموا لك بضاعة جيدة وبنفس الوقت يتحصلون على المال الذي يستحقونه. من هنا نرى بوضوح كيف أن الحياة الداخلية تقلل من الهوس بالحياة الخارجية. الأم أو الأب الذي يربي أبناءه بطريقة جيدة، ويمدهم بقيم الخير والتسامح ومساعدة الآخرين سيشعر بأعماقه أنه يقدم شيئا من روحه سيجلعه يشعر بالاحترام الداخلي وبالتأكيد لن يبحث عن الاحترام عبرالأجهزة الحديثة. من هنا نستطيع أن نقلل من اهتمامنا بالحياة الخارجية ( ولا نلغيها بكل تأكيد) ونعمق من اهتمامنا بالحياة الداخلية الأهم. ميزة الحياة الداخلية أنها، أولا، غير مكلفة، وثانيا تساهم في تطويرك الشخصي،وثالثا لا تدخلك بجنون اللعبة الاستهلاكية، ورابعا تسهم في خدمة المجتمع الذي تعيش فيه. إذا كنت تقر أ ( ليست الكتب الفارغة بكل تأكيد) فإنك ستعمق من وعيك، وتفهم شخصيتك وستجعلك - تحاول على الأقل- من تخليص نفسك من بعض الأخطاء والعادات السيئة. هذا بكل تأكيد سينعكس عليك وينعكس على الناس الذين حولك سواء عائلة أو أخوة أو أصدقاء. والأهم أنه ليس بحثاً مجنوناً غير منتهٍ عن جهاز حديث ، بل بحث عميق عن الداخل الروحي الذي كلما تعمقت فيه أظهرت أحسن ما في شخصيتك. تعميق الحياة الداخلية لا ينسجم مع المشاعر الكارهة والمتعصبة. أي أن شخصا يمكن أن يدعي أن حياته الداخلية عميقة بسبب كراهيته وتعصبه التي تشعره بالرضا عن نفسه. نفس الشيء يمكن أن يقوله المتعصب عرقيا حيث يرى نفسه داخليا أفضل من الآخرين، أو مثلا الشخص المدعي الذي يرى في شهاداته مصدرا عميقا لسروره. كل هذا يخصهم ولكنه لا يعكس الحياة الداخلية العميقة التي أقصدها، والتي شرطها الأساسي هو التطور الداخلي، والنمو الأخلاقي. لكن المتعصب لا يتطور إلا أنه يزيد في تعصبه وكراهيته، أما المدعي فيظل طول عمره يتحدث عن إنجازاته ونجاحاته الفارغة. هناك بعض من يعتقد أن الإغراق في الحياة الداخلية يصيب الشخص بالكسل والدروشة والإحساس الفارغ بالذكاء. هذا صحيح ولكن هذا ينتج بسبب فهم خاطئ لهؤلاء للحياة الداخلية. كثير من المثقفين والمهتمين بالقراءة يتعمقون أكثر في داخلهم لدرجة تجلعهم ربما يهملون أعمالهم وواجباتهم. هناك نداءات متكررة منهم تطالب بأن يحظوا برواتب من الدولة فقط لكونهم مثقفين! هذا تصور خاطئ لأنهم لم يفهموا أن العمل المخلص مهما كان لا يقل أيضا عن القراءة في تعميق شخصية الإنسان. في الحقيقة ان الأشياء التي تعمق الشخصية الداخلية لا تتعارض أبدا. فقط في الوقت الذي تلغي بعضها بعضا ،فهذا مؤشر على مشكلة في الفهم. لتوضيح ذلك : تخيل أن هناك شاعرا يعتقد أن أشعاره هي أهم من عمله -لنقل- كمعلم أو دوره كأب. هو يهتم بالشعر ويهمل مهنته كمعلم وواجبه كأب. الاهتمام العميق بالحياة الداخلية سيجعله بالفعل يهتم بالثلاثة معاً لأنها تتحالف في تعميق شخصيته. ولكن فقط التصرف على أن العمل تافه أو الأبوة مملة، هذا يدل على مشكلة في فهم معنى الحياة الداخلية نفسها. هناك من يستخدم الفهم المغلوط كي يحقر الحياة وينغمس في الكسل وهو يبحث في ذلك عن عذر لنفسه. والحقيقة أن الحياة الداخلية ستجعلك تعمل بجد وتجمع المال ( الكثير منه لو أردت) وتعيش حياة طيبة بدون بذخ وليس العكس. كمثال على ذلك الملياردير الأمريكي وارن بافيت عمل بجد منذ أن كان صغيرا وجمع المليارات الطائلة. ولكنه يتصرف كرجل عادي. ليس كل الناس مثل بافيت ولكن حتى لو جمعت الكثير من المال فهذا لا يعني عدم التنعم فيه. الفكرة الرئيسية أن المال هو الناتج ولكن العمل نفسه هو الجوهر. القصد هو أن الحياة الداخلية داعم قوي للإنتاج والعمل وليست دافعاً للكسل والعطالة و الدروشة. ستيف جوبز كان مهووساً بقيمة الإبداع والعمل، وليس المال، لهذا حقق إنجازاته الكبيرة. لكن ممكن أن تجد الكثير من المحتالين لديهم الكثير من المال ولكن إنجازهم ومساهماتهم في التطوير والتغيير تساوي صفراً. الحياة الداخلية لا تسلبك متعة الأشياء الخارجية ولكنها تعقلنها، والأهم من ذلك أن تدخلك مع نفسك في رحلة جميلة تصعد فيها خطوة بخطوة حتى تقترب من أرقى وأفضل شخصياتك كإنسان. ولكن لو اشتريت ألف سيارة أو ألف عقد، وحصلت على كل شهادات التقدير.. ستفرح لساعات، وربما لأيام، ولكن داخلك سيظل هو نفسه. لن يتزحزح خطوة واحدة.",كثير من الحياة الداخلية وقليل من الحياة الخارجية,الأخــيــرة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
 منذ سنوات خرجت مظاهرة حاشدة في بريطانيا تنديد واعتراضاً على صيد الثعالب بالكلاب، لما في ذلك من وحشية تتعارض مع الأخلاق والأعراف الإنسانية.. لأن الإنسان السوي يجب أن يكون رحيماً حتى مع الحيوانات، وإن كانت في درجة الثعالب..!! وقد كانت هناك عادة قديمة في بريطانيا لصيد الثعالب بهذه الطريقة لها ما يشبه الطقوس..!! حيث يجتمع عشرات النبلاء وقد ركبوا خيولهم تحيط بهم الكلاب المدربة، وما أن يصلوا إلى منطقة الصيد حتى يبدأ قائد حملة الكلاب بالنفخ في بوقه. إيذانا بالبداية فتأخذ الكلاب في الانطلاق لإخراج الثعالب، وتنفيرها، وتنفيجها من جحورها، ومكامنها.. فإذا انطلق الثعلب مذعورا لحقته الكلاب الضارية، وأخذت تطارده، وهو يجري، ويراوغ إلى أن يقع فريسة بين يديها فتحوله أشلاء... وبسبب هذه الطريقة البشعة، وغير الأخلاقية، تكاثرت وتوالت الاحتجاجات والمظاهرات الحاشدة، إلى أن تم تجريم طريقة الصيد هذه رغم أنوف النبلاء، واحتجاجاتهم.. هذا العالم الغربي الرقيق الرحيم ذي الضمير الحي، الذي تتمزق قلوب أهله رحمة ورأفة بالثعالب المسكينة، يرى ويسمع ويشاهد المجازر الجماعية وحرب الإبادة ضد الشعب السوري، ويتفرج على الإعدامات الميدانية، وعلى قتل الأطفال الرضع، والشيوخ العجزة، الشبان، والصبايا، الكبار، والصغار، فيواجه ذلك كله بالصمت المريب، وكأن الذين يقتلون، ويبادون، ليسوا بشراً، ولا ينتمون إلى العائلة الإنسانية، إلى درجة أن الإنسان لا يصدق، ما يرى ويشاهد من صمت وصمم في سمع الضمير العالمي، هذا الضمير المتملق الكاذب، هذا الضمير المتحجر، بل الميت أمام سفك، ونزف دماء العرب، والعمل على تمزيق أوصالهم، وتقطيع، وتفخيخ أراضيهم، وتحويل بلدانهم إلى جحور أرانب مذعورة... هذا العالم الديموقراطي المتحضر الذي صنع إسرائيل، وغرسها شجرة خبيثة في قلب الوطن العربي، وراح يسقيها بالمال، والسلاح والفيتو، وكل ما يخطر على البال من أنواع الحماية والتأييد... هاهو يتفرج على شعب يباد بوحشية وإجرام !! كلا. فالوحشية أرحم وأقل شراسة وعنفاً لأن الوحوش لا يمكن أن تمارس هذا الفتك ببعضها... فشعب يباد وبشكل صارخ، وبكل أنواع الإبادة، والعالم الإنساني الرحيم، زارع إسرائيل، ومحتل العراق ومستنزف الخيرات، يرابط بعيونه على أطراف الشام، يراقب المشهد، بإنسانية خاصة، وحرية خاصة، وديموقراطية خاصة، تزغرد للموت وهو ينتزع أرواح هذا الشعب البائس المضطهد الحزين، لسبب ديموقراطي وجيه وهو : عدم تمكين السنة في بلاد الشام من اختيار وتقرير مصيرهم.. أيها السادة كلكم شاهدتم، وتشاهدون مكر العالم المتحضر، وثعلبيته، وغدره في التعامل مع العالم العربي، والشعب السوري اليوم بخاصة... أليس عالماً شاذاً،وعالما ضالاً، وعالماً مجنوناً هذا العالم الذي يحرم صيد الثعالب، ويبيح إبادة شعب كامل بطائرات الميج والسوخوي. وبالمدافع والصواريخ والقنابل الفراغية ويشعل النيران في البيوت والحقول، والغابات بشكل جنوني مفزع...؟! لقد أصبحت كلمات الديموقراطية، والحرية، وحقوق الإنسان كلمات مزرية وممسوخة وقبيحة. وماجنة مجانة بغي تدعي النسك والطهارة...,الشعب السوري وصيد الثعالب...,الأخــيــرة, الجمعة 20 شوال 1433 هـ - 7 سبتمبر 2012م - العدد 16146 
